9位编码,完整编码,项目名称,F列分类,二级分类,映射材料名,匹配规则,置信度,备注
030804017,030804017,低压铸铁管件,工业管件,工业管道工程,管件,模糊匹配+排除管件,medium,
030804018,030804018,低压直埋保温管件,工业管件,工业管道工程,管件,模糊匹配+排除管件,medium,
030804019,030804019,低压钢套管直埋保温管件,工业管件,工业管道工程,管件,模糊匹配+排除管件,medium,
030805001,030805001,中压碳钢管件,工业管件,工业管道工程,管件,模糊匹配+排除管件,medium,
030805002,030805002,中压螺旋卷管件,工业管件,工业管道工程,管件,模糊匹配+排除管件,medium,
030805003,030805003,中压不锈钢管件,工业管件,工业管道工程,管件,模糊匹配+排除管件,medium,
030805004,030805004,中压合金钢管件,工业管件,工业管道工程,管件,模糊匹配+排除管件,medium,
030805005,030805005,中压铜及铜合金管件,工业管件,工业管道工程,管件,模糊匹配+排除管件,medium,
030805006,030805006,中压钛及钛合金管件,工业管件,工业管道工程,管件,模糊匹配+排除管件,medium,
030805007,030805007,中压锆及锆合金管件,工业管件,工业管道工程,管件,模糊匹配+排除管件,medium,
030805008,030805008,中压镍及镍合金管件,工业管件,工业管道工程,管件,模糊匹配+排除管件,medium,
030806001,030806001,高压碳钢管件,工业管件,工业管道工程,管件,模糊匹配+排除管件,medium,
030806002,030806002,高压不锈钢管件,工业管件,工业管道工程,管件,模糊匹配+排除管件,medium,
030806003,030806003,高压合金钢管件,工业管件,工业管道工程,管件,模糊匹配+排除管件,medium,
030801001,030801001,低压碳钢管,工业管道,工业管道工程,,,,待人工确认
030801002,030801002,低压碳钢伴热管,工业管道,工业管道工程,,,,待人工确认
030801003,030801003,低压不锈钢伴热管,工业管道,工业管道工程,不锈钢管,模糊匹配+排除管件,medium,
030801004,030801004,低压碳钢板卷管,工业管道,工业管道工程,,,,待人工确认
030801005,030801005,低压不锈钢管,工业管道,工业管道工程,不锈钢管,模糊匹配+排除管件,medium,
030801006,030801006,低压不锈钢板卷管,工业管道,工业管道工程,不锈钢管,模糊匹配+排除管件,medium,
030801007,030801007,低压合金钢管,工业管道,工业管道工程,,,,待人工确认
030801008,030801008,低压钛及钛合金管,工业管道,工业管道工程,,,,待人工确认
030801009,030801009,低压镍及镍合金管,工业管道,工业管道工程,,,,待人工确认
030801010,030801010,低压锆及锆合金管,工业管道,工业管道工程,,,,待人工确认
030801011,030801011,低压铝及铝合金管,工业管道,工业管道工程,,,,待人工确认
030801012,030801012,低压铝及铝合金板卷管,工业管道,工业管道工程,,,,待人工确认
030801013,030801013,低压铜及铜合金管,工业管道,工业管道工程,,,,待人工确认
030801014,030801014,低压铜及铜合金板卷管,工业管道,工业管道工程,,,,待人工确认
030801015,030801015,低压塑料管,工业管道,工业管道工程,PVC管,模糊匹配+排除管件,medium,
030801016,030801016,低压金属骨架复合管,工业管道,工业管道工程,钢管,模糊匹配+排除管件,medium,
030801017,030801017,低压玻璃钢管,工业管道,工业管道工程,钢管,模糊匹配+排除管件,medium,
030801018,030801018,低压铸铁管,工业管道,工业管道工程,钢管,模糊匹配+排除管件,medium,
030801019,030801019,低压金属软管,工业管道,工业管道工程,钢管,模糊匹配+排除管件,medium,
030801020,030801020,低压直埋保温管道,工业管道,工业管道工程,钢管,模糊匹配+排除管件,medium,
030802001,030802001,中压碳钢管,工业管道,工业管道工程,,,,待人工确认
030802002,030802002,中压螺旋卷管,工业管道,工业管道工程,钢管,模糊匹配+排除管件,medium,
030802003,030802003,中压不锈钢管,工业管道,工业管道工程,不锈钢管,模糊匹配+排除管件,medium,
030802004,030802004,中压合金钢管,工业管道,工业管道工程,,,,待人工确认
030802005,030802005,中压铜及铜合金管,工业管道,工业管道工程,,,,待人工确认
030802006,030802006,中压钛及钛合金管,工业管道,工业管道工程,,,,待人工确认
030802007,030802007,中压锆及锆合金管,工业管道,工业管道工程,,,,待人工确认
030802008,030802008,中压镍及镍合金管,工业管道,工业管道工程,,,,待人工确认
030802009,030802009,中压金属软管,工业管道,工业管道工程,钢管,模糊匹配+排除管件,medium,
030803001,030803001,高压碳钢管,工业管道,工业管道工程,,,,待人工确认
030803002,030803002,高压合金钢管,工业管道,工业管道工程,,,,待人工确认
030803003,030803003,高压不锈钢管,工业管道,工业管道工程,不锈钢管,模糊匹配+排除管件,medium,
030501007,030501007,互联电缆,弱电电缆,建筑智能化工程,电缆,模糊匹配+排除管件,medium,
030502003,030502003,双绞线缆,弱电电缆,建筑智能化工程,电缆,模糊匹配+排除管件,medium,
030502004,030502004,大对数电缆、电话线,弱电电缆,建筑智能化工程,电缆,模糊匹配+排除管件,medium,
030502005,030502005,光缆,弱电电缆,建筑智能化工程,电缆,模糊匹配+排除管件,medium,
030502007,030502007,跳线、跳纤,弱电电缆,建筑智能化工程,电缆,模糊匹配+排除管件,medium,
030502012,030502012,光纤接续,弱电电缆,建筑智能化工程,电缆,模糊匹配+排除管件,medium,
030502014,030502014,尾纤,弱电电缆,建筑智能化工程,电缆,模糊匹配+排除管件,medium,
030502017,030502017,双绞线缆测试,弱电电缆,建筑智能化工程,电缆,模糊匹配+排除管件,medium,
030502018,030502018,大对数电缆、电话线测试,弱电电缆,建筑智能化工程,电缆,模糊匹配+排除管件,medium,
030502019,030502019,光纤测试,弱电电缆,建筑智能化工程,电缆,模糊匹配+排除管件,medium,
030409002,030409002,控制电缆,控制电缆,电气设备安装工程,控制电缆,模糊匹配+排除管件,medium,
030409005,030409005,控制电缆头,控制电缆,电气设备安装工程,控制电缆,模糊匹配+排除管件,medium,
030403001,030403001,软母线,母线,电气设备安装工程,,,,待人工确认
030403002,030403002,矩形母线、引下线,母线,电气设备安装工程,,,,待人工确认
030403003,030403003,槽形母线,母线,电气设备安装工程,,,,待人工确认
030403004,030403004,管型母线、引下线,母线,电气设备安装工程,,,,待人工确认
030403005,030403005,封闭母线,母线,电气设备安装工程,,,,待人工确认
030403006,030403006,低压封闭式插接母线槽,母线,电气设备安装工程,,,,待人工确认
030403007,030403007,始端箱、分线箱,母线,电气设备安装工程,,,,待人工确认
030403008,030403008,重型母线,母线,电气设备安装工程,,,,待人工确认
030403009,030403009,母线绝缘热缩管,母线,电气设备安装工程,,,,待人工确认
030403010,030403010,母线穿墙套管,母线,电气设备安装工程,,,,待人工确认
030901001,030901001,水喷淋钢管,消防管道,消防工程,钢管,模糊匹配+排除管件,medium,
030901002,030901002,消火栓钢管,消防管道,消防工程,钢管,模糊匹配+排除管件,medium,
030902001,030902001,无缝钢管,消防管道,消防工程,钢管,模糊匹配+排除管件,medium,
030902002,030902002,不锈钢管,消防管道,消防工程,不锈钢管,模糊匹配+排除管件,medium,
030902003,030902003,钢制管件,消防管道,消防工程,钢管,模糊匹配+排除管件,medium,
030902004,030902004,不锈钢管管件,消防管道,消防工程,不锈钢管,模糊匹配+排除管件,medium,
030902005,030902005,气体驱动装置管道,消防管道,消防工程,钢管,模糊匹配+排除管件,medium,
030902006,030902006,选择阀,消防管道,消防工程,钢管,模糊匹配+排除管件,medium,
030409001,030409001,电力电缆,电力电缆,电气设备安装工程,电力电缆,模糊匹配+排除管件,medium,
030409003,030409003,电力电缆头,电力电缆,电气设备安装工程,电力电缆,模糊匹配+排除管件,medium,
030409004,030409004,电缆中间头,电力电缆,电气设备安装工程,电缆,模糊匹配+排除管件,medium,
030412004,030412004,配线,电线,电气设备安装工程,,,,待人工确认
031001001,031001001,铸铁管,管道,给排水、采暖、燃气工程,钢管,模糊匹配+排除管件,medium,
031001002,031001002,镀锌钢管,管道,给排水、采暖、燃气工程,镀锌钢管,模糊匹配+排除管件,medium,
031001003,031001003,无缝钢管,管道,给排水、采暖、燃气工程,钢管,模糊匹配+排除管件,medium,
031001004,031001004,焊接钢管,管道,给排水、采暖、燃气工程,钢管,模糊匹配+排除管件,medium,
031001005,031001005,铜管,管道,给排水、采暖、燃气工程,黄铜管,模糊匹配+排除管件,medium,
031001006,031001006,不锈钢管,管道,给排水、采暖、燃气工程,不锈钢管,模糊匹配+排除管件,medium,
031001007,031001007,复合管,管道,给排水、采暖、燃气工程,钢管,模糊匹配+排除管件,medium,
031001008,031001008,塑料管,管道,给排水、采暖、燃气工程,PVC管,模糊匹配+排除管件,medium,
031001010,031001010,室外管道碰头,管道,给排水、采暖、燃气工程,钢管,模糊匹配+排除管件,medium,
031003015,031003015,小便槽冲洗管,管道,给排水、采暖、燃气工程,钢管,模糊匹配+排除管件,medium,
031001011,031001011,阻火圈,管道附件,给排水、采暖、燃气工程,,,,待人工确认
031001012,031001012,止水节,管道附件,给排水、采暖、燃气工程,,,,待人工确认
031103001,031103001,水泥管道,通信管道,通信设备及线路工程,,,,待人工确认
031103002,031103002,小口径塑料管道,通信管道,通信设备及线路工程,,,,待人工确认
031103003,031103003,通信光(电)缆通道,通信管道,通信设备及线路工程,,,,待人工确认
031103004,031103004,地下定向钻孔敷管,通信管道,通信设备及线路工程,,,,待人工确认
031103005,031103005,电杆附属装置,通信管道,通信设备及线路工程,,,,待人工确认
031103006,031103006,人工敷设塑料子管,通信管道,通信设备及线路工程,,,,待人工确认
031103007,031103007,架空吊线,通信配线,通信设备及线路工程,,,,待人工确认
031103008,031103008,光缆,通信配线,通信设备及线路工程,,,,待人工确认
031103009,031103009,电缆,通信配线,通信设备及线路工程,,,,待人工确认
031103010,031103010,光缆接续,通信配线,通信设备及线路工程,,,,待人工确认
031103011,031103011,光缆成端接头,通信配线,通信设备及线路工程,,,,待人工确认
031103012,031103012,光缆中继段测试,通信配线,通信设备及线路工程,,,,待人工确认
031103013,031103013,用户光缆测试,通信配线,通信设备及线路工程,,,,待人工确认
031103014,031103014,光纤链路测试,通信配线,通信设备及线路工程,,,,待人工确认
031103015,031103015,电缆芯线接续、改接,通信配线,通信设备及线路工程,,,,待人工确认
031103021,031103021,电缆全程测试,通信配线,通信设备及线路工程,,,,待人工确认
031103030,031103030,电缆全程充气,通信配线,通信设备及线路工程,,,,待人工确认
030702001,030702001,碳钢通风管道,通风管道,通风空调工程,,,,待人工确认
030702002,030702002,净化通风管道,通风管道,通风空调工程,,,,待人工确认
030702003,030702003,不锈钢板通风管道,通风管道,通风空调工程,,,,待人工确认
030702004,030702004,铝板通风管道,通风管道,通风空调工程,,,,待人工确认
030702005,030702005,塑料通风管道,通风管道,通风空调工程,,,,待人工确认
030702006,030702006,玻璃钢通风管道,通风管道,通风空调工程,,,,待人工确认
030702007,030702007,复合型风管,通风管道,通风空调工程,,,,待人工确认
030702008,030702008,柔性软风管,通风管道,通风空调工程,,,,待人工确认
030702009,030702009,弯头导流叶片,通风管道,通风空调工程,,,,待人工确认
030702010,030702010,风管检查孔,通风管道,通风空调工程,,,,待人工确认
030702011,030702011,温度、风量测定孔,通风管道,通风空调工程,,,,待人工确认
030703019,030703019,柔性接口,通风管道,通风空调工程,,,,待人工确认
030703020,030703020,消声器,通风管道,通风空调工程,,,,待人工确认
030703021,030703021,静压箱,通风管道,通风空调工程,,,,待人工确认
030703001,030703001,碳钢阀门,通风管道阀门,通风空调工程,,,,待人工确认
030703002,030703002,柔性软风管阀门,通风管道阀门,通风空调工程,,,,待人工确认
030703003,030703003,铝质阀门,通风管道阀门,通风空调工程,,,,待人工确认
030703004,030703004,不锈钢阀门,通风管道阀门,通风空调工程,,,,待人工确认
030703005,030703005,塑料阀门,通风管道阀门,通风空调工程,,,,待人工确认
030703006,030703006,玻璃钢阀门,通风管道阀门,通风空调工程,,,,待人工确认
030703022,030703022,人防超压自动排气阀,通风管道阀门,通风空调工程,,,,待人工确认
030703023,030703023,人防手动密闭阀,通风管道阀门,通风空调工程,,,,待人工确认
030703024,030703024,人防其他部件,通风管道阀门,通风空调工程,,,,待人工确认
030807001,030807001,低压螺纹阀门,阀门,工业管道工程,,,,待人工确认
030807002,030807002,低压焊接阀门,阀门,工业管道工程,,,,待人工确认
030807003,030807003,低压法兰阀门,阀门,工业管道工程,,,,待人工确认
030807004,030807004,低压齿轮、液压传动、电动阀门,阀门,工业管道工程,,,,待人工确认
030807005,030807005,低压安全阀门,阀门,工业管道工程,安全阀,模糊匹配+排除管件,medium,
030807006,030807006,低压调节阀门,阀门,工业管道工程,调节阀,模糊匹配+排除管件,medium,
030808001,030808001,中压螺纹阀门,阀门,工业管道工程,,,,待人工确认
030808002,030808002,中压焊接阀门,阀门,工业管道工程,,,,待人工确认
030808003,030808003,中压法兰阀门,阀门,工业管道工程,,,,待人工确认
030808004,030808004,中压齿轮、液压传动、电动阀门,阀门,工业管道工程,,,,待人工确认
030808005,030808005,中压安全阀门,阀门,工业管道工程,安全阀,模糊匹配+排除管件,medium,
030808006,030808006,中压调节阀门,阀门,工业管道工程,调节阀,模糊匹配+排除管件,medium,
030809001,030809001,高压螺纹阀门,阀门,工业管道工程,,,,待人工确认
030809002,030809002,高压法兰阀门,阀门,工业管道工程,,,,待人工确认
030809003,030809003,高压焊接阀门,阀门,工业管道工程,,,,待人工确认
031002001,031002001,金属阀门,阀门、管件,给排水、采暖、燃气工程,,,,待人工确认
031002002,031002002,带短管甲乙阀门,阀门、管件,给排水、采暖、燃气工程,,,,待人工确认
031002003,031002003,塑料阀门,阀门、管件,给排水、采暖、燃气工程,,,,待人工确认
031002004,031002004,减压器,阀门、管件,给排水、采暖、燃气工程,,,,待人工确认
031002005,031002005,疏水器,阀门、管件,给排水、采暖、燃气工程,,,,待人工确认
031002006,031002006,除污器(过滤器),阀门、管件,给排水、采暖、燃气工程,,,,待人工确认
031002007,031002007,补偿器,阀门、管件,给排水、采暖、燃气工程,,,,待人工确认
031002008,031002008,软接头(软管),阀门、管件,给排水、采暖、燃气工程,,,,待人工确认
031002010,031002010,倒流防止器,阀门、管件,给排水、采暖、燃气工程,,,,待人工确认
031002013,031002013,塑料排水管消声器,阀门、管件,给排水、采暖、燃气工程,,,,待人工确认
031002016,031002016,水锤消除器,阀门、管件,给排水、采暖、燃气工程,,,,待人工确认
031003014,031003014,给、排水附件,阀门、管件,给排水、采暖、燃气工程,,,,待人工确认
