9位编码,项目名称,清单项数量,是否已映射,映射材料名,映射类型,相似度,备注
010807003,金属百叶窗 BYC2005,17,是,百叶窗,partial_match,92.0,
010807004,隐形防虫纱窗,7,否,,,,待补全
010808004,不锈钢电梯门套,4,否,,,,待补全
010809004,大理石台面,1,是,人造大理石,manual_confirm,100.0,
010810001,窗帘,1,否,,,,待补全
010901002,钢结构屋面硅酸盐防火板,7,是,55式内外平开式门窗铝型材表面氟碳三涂喷涂,fuzzy_name,67.5,
010901003,阳光板屋面,1,是,阳光板,partial_match,92.0,
010901004,电动启闭式采光通风天窗,1,是,玻璃钢,partial_match,92.0,
010902001,屋面卷材防水走道板,35,否,,,,待补全
010902002,雨棚涂膜防水,1,否,,,,待补全
010902003,屋面40厚C20防水细石砼,8,是,屋面砖,fuzzy_name,72.0,
010902004,屋面排水管,1,是,屋面砖,fuzzy_name,72.0,
010902005,屋面排(透)气管,1,是,屋面砖,fuzzy_name,72.0,
010902006,雨棚排水管,4,是,屋面砖,fuzzy_name,72.0,
010902008,混凝土屋面变形缝,3,是,屋面变形缝,exact_name,100.0,
010903001,地下室侧墙外侧-防水层,5,否,,,,待补全
010903002,墙面涂膜防水,9,否,,,,待补全
010903003,墙面砂浆防水（防潮）,2,是,防水砂浆,manual_confirm,100.0,
010903004,女儿墙诱导缝,11,是,地面变形缝,fuzzy_name,80.0,
010904001,地下室底板-防水层,11,是,防水浆,fuzzy_name,72.0,
010904002,楼（地）面涂膜防水,17,是,防水浆,fuzzy_name,72.0,
010904003,楼（地）面砂浆防水（防潮）,2,否,,,,待补全
010904004,无叉车楼(地)面变形缝,3,是,地面变形缝,fuzzy_name,80.0,
011001001,钢结构挤塑聚苯板保温隔热屋面,25,是,保温钉,fuzzy_name,72.0,
011001003,外墙1-保温装饰板（涂料面层）,9,是,保温钉,fuzzy_name,72.0,
011001005,屋面检修孔盖板,1,是,保温钉,fuzzy_name,72.0,
011001006,岩棉填充,2,是,隔热条,fuzzy_name,72.0,
011002004,水池内壁玻璃钢内衬,1,是,玻璃钢,partial_match,88.6,
011101001,水泥砂浆楼地面,17,否,,,,待补全
011101003,50厚C20细石混凝土楼地面,12,是,细石混凝土,partial_match,92.5,
011101005,环氧砂浆楼面,10,否,,,,待补全
011101006,1:2.5屋面防水找平层,28,否,,,,待补全
011102001,石材楼地面,3,否,,,,待补全
011102003,块料楼地面（公共区域）,28,否,,,,待补全
011104001,地毯楼地面,1,否,,,,待补全
011104004,防静电活动地板,3,是,防静电地板,fuzzy_name,83.3,
011105001,环氧涂层踢脚线,10,是,踢脚线,partial_match,88.6,
011105003,地砖块料踢脚线-踢2,10,是,踢脚线,partial_match,92.0,
011105006,金属踢脚线,4,是,踢脚线,partial_match,92.0,
011106002,防滑踏步楼梯面层,3,否,,,,待补全
011107001,石材台阶面（印度红）,4,否,,,,待补全
011107002,大理石门槛石,4,是,珍珠花花岗岩台阶面,fuzzy_name,67.5,
011107004,水泥砂浆台阶面,1,是,山西黑花岗岩防滑条,feature_match,90.0,
011108001,人造石台面,1,否,,,,待补全
011201001,砌体抹灰,47,否,,,,待补全
011201002,墙面装饰抹灰,1,否,,,,待补全
011201004,底座外侧抹灰,7,否,,,,待补全
011202002,柱、梁面装饰抹灰,1,否,,,,待补全
011203001,零星项目一般抹灰,2,否,,,,待补全
011204001,岩板墙面,8,否,,,,待补全
011204003,小型饰面砖外墙面（外墙2）,23,是,花岗岩,manual_confirm,100.0,
011204004,镀锌钢骨架,1,否,,,,待补全
011207001,凿除砌体,12,是,亚克力仿铜装饰板,fuzzy_name,67.5,
011209001,带骨架幕墙,2,是,隔离开关箱 壳架,feature_match,72.0,
011210002,不锈钢格栅,1,否,,,,待补全
011210003,防火玻璃隔断,2,是,玻璃隔断,exact_name,100.0,
011210005,卫生间小便器成品隔断,7,是,成品蹲位隔断,fuzzy_name,80.0,
011210006,轻钢龙骨石膏板隔墙,4,否,,,,待补全
011301001,天棚抹灰,17,否,,,,待补全
011302001,石膏板包管,19,否,,,,待补全
011303001,采光天棚,2,是,成品柜,fuzzy_name,72.0,
011304001,灯带（槽）,2,否,,,,待补全
011405001,金属面油漆,3,否,,,,待补全
011406001,墙面白色墙漆,11,是,乳胶漆,manual_confirm,100.0,
011407001,内墙1-墙面喷刷涂料,35,是,墙面喷涂公司LOGO,fuzzy_name,72.0,
011407002,防水防霉涂料顶棚1,16,否,,,,待补全
011407005,金属构件刷防火涂料,1,是,防火涂料,partial_match,88.9,
011501001,设计费,1,是,宴会前厅特殊饰面装饰柜,partial_match,80.5,
011502001,不锈钢装饰线,5,是,金属装饰线条,partial_match,91.7,
011502002,天棚弧形线条,1,是,100*60木装饰线,fuzzy_name,80.0,
011502003,石材倒45度角,1,否,,,,待补全
011502005,墙地面砖美缝,1,是,镜面玻璃,partial_match,96.0,
011502008,GRC线板,22,否,,,,待补全
011503001,不锈钢楼梯栏杆 H=1050,19,否,,,,待补全
011503008,不锈钢玻璃栏板,1,否,,,,待补全
011505001,洗漱台,5,是,洗漱台,exact_name,100.0,
011505005,卫生间扶手,1,是,石材卫生间洗手台,fuzzy_name,72.0,
011505008,卫生纸盒,1,是,卫生间纸盒,fuzzy_name,88.9,
011505009,肥皂盒,1,否,,,,待补全
011505010,镜面镜子,5,是,镜面玻璃,exact_name,100.0,
011506003,轻钢玻璃雨蓬,2,是,成品柜,fuzzy_name,72.0,
011507004,信报箱,1,是,信报箱,exact_name,100.0,
011601001,砖砌体拆除,2,是,脚手架,exact_name,100.0,
011602001,混凝土凿毛,8,是,混凝土,partial_match,88.6,
011604001,2单元11轴墙面抹灰层清凿,2,是,表面抹灰,fuzzy_name,67.5,
011608001,铲除外墙真石漆,1,否,,,,待补全
011614002,柜体拆除,1,否,,,,待补全
011615001,掏砌门洞,5,是,开孔器,fuzzy_name,72.0,
011701001,外脚手架,4,否,,,,待补全
011701002,外脚手架,2,否,,,,待补全
011701003,内墙面抹灰架,3,是,照明箱,fuzzy_name,72.0,
011701006,满堂脚手架,9,否,,,,待补全
011702001,满堂基础  模板及支撑(架),26,是,脚手架,partial_match,92.0,
011702002,矩形柱,4,是,脚手架,partial_match,95.0,
011702003,构造柱模板及支架(撑),2,是,脚手架,partial_match,95.0,
011702005,基础梁 模板及支撑(架),2,是,脚手架,partial_match,95.0,
011702006,矩形梁 模板及支撑(架),1,是,脚手架,partial_match,92.0,
011702008,圈梁 模板及支撑(架),4,否,,,,待补全
011702009,过梁 模板及支撑(架),2,否,,,,待补全
011702011,地坑侧壁 模板及支撑(架),3,否,,,,待补全
011702014,有梁板（含超高）,3,否,,,,待补全
011702015,无梁板 模板及支撑(架),1,否,,,,待补全
011702021,女儿墙模板及支架(撑),1,否,,,,待补全
011702023,雨篷板模板及支架(撑),1,否,,,,待补全
011702025,垫层  模板及支撑(架),3,否,,,,待补全
011702026,排水沟 模板及支撑(架),2,否,,,,待补全
011702027,台阶  模板及支撑(架),4,否,,,,待补全
011702028,压顶 模板及支撑(架),2,否,,,,待补全
011702032,水表井2150*1100*1800,13,否,,,,待补全
011703001,垂直运输,1,否,,,,待补全
011704001,超高施工增加,2,否,,,,待补全
020206010,不锈钢水篦子,1,否,,,,待补全
020402008,预留洞150*150*200,4,否,,,,待补全
030104007,电动葫芦,1,是,电动葫芦,exact_name,100.0,
030108001,离心风机PF-1-1,33,是,离心式通风机,exact_name,100.0,
030108003,壁式轴流风机PF-1-15~16,24,是,低噪声轴流通风机,partial_match,87.5,
030108006,贯流式风幕机FMJ-1~10,4,否,,,,待补全
030109001,二层检测室增加增压泵,9,是,离心式冷水机组,fuzzy_name,77.1,
030109011,潜水泵,4,是,潜水泵,exact_name,100.0,
030113004,空压机,1,是,风机就地检修箱,fuzzy_name,72.0,
030113021,气压罐,1,是,储气罐,exact_name,100.0,
030204031,小电器,1,是,单联单控开关,manual_confirm,100.0,
030225003,换热器,1,是,换热器,exact_name,100.0,
030307005,摄像机支架,2,否,,,,待补全
030404001,监控显示器32寸,1,是,控制箱 风机控制箱,fuzzy_name,72.0,
030404016,防水设备箱,1,是,控制箱,exact_name,100.0,
030404017,照明配电箱 03AP1,202,是,配电箱,exact_name,100.0,
030404031,小电器,5,是,反时限过流继电器,fuzzy_name,72.0,
030404032,端子箱,2,是,端子箱户外,partial_match,87.0,
030404033,风机盘管调控器,3,是,排风扇,partial_match,88.3,
030404034,风机现场控制按钮（含接线盒、室外不锈钢防水箱）,54,否,,,,待补全
030404035,电暖器插座,49,否,,,,待补全
030404036,预留洞,3,否,,,,待补全
030406006,小型电机检查接线 3kW以下,15,是,电动机,partial_match,86.7,
030406007,大、中型电机检查接线,1,是,电动机,partial_match,86.7,
030406009,微型电机检查接线 0.75kw以下,3,否,,,,待补全
030408001,矿物电力电缆 NG-A(BTLY)-0.6/1KV-3×185+2×95mm2-0.00,1636,是,电力电缆,exact_name,100.0,
030408002,铜芯控制电缆 WDZRN-KVV-450/750-5×1.5mm2,2,是,控制电缆,exact_name,100.0,
030408003,CPVC电力管,5,否,,,,待补全
030408005,回填方 中粗砂,2,否,,,,待补全
030408006,铜芯电力电缆终端头 25mm2及以下-0.00,75,是,矿物电缆终端头,partial_match,89.3,
030408008,电力埋管防火堵洞,3,是,电缆防火堵料,fuzzy_name,67.5,
030409001,"接地钢板-A,C",5,是,锌包钢接地极,partial_match,85.0,
030409002,接地母线,26,是,接地母线,exact_name,100.0,
030409003,避雷引下线,11,是,避雷器,fuzzy_name,72.0,
030409004,均压环,1,是,压环式直通终端接头,fuzzy_name,72.0,
030409005,避雷网,14,是,避雷器,fuzzy_name,66.7,
030409007,人体静电释放装置,3,否,,,,待补全
030409008,等电位端子箱、测试板,36,是,等电位箱,fuzzy_name,77.1,
030409010,防雷接地,1,是,星三角箱加热保护器,fuzzy_name,67.5,
030411001,配管 SC25*3.25-0.00,148,是,变压器,partial_match,88.6,
030411002,剔槽,11,否,,,,待补全
030411003,槽式电缆桥架 600×150×2.0-0.00,64,是,槽式桥架及配件,partial_match,90.0,
030411004,配线,72,是,BV铜芯线,manual_confirm,100.0,
030411005,接线箱,1,否,,,,待补全
030411006,接线盒,25,否,,,,待补全
030412001,普通灯具,39,是,电气配管,partial_match,85.0,
030412002,应急灯具,40,否,,,,待补全
030412003,标志灯,1,是,梯式桥架,partial_match,85.0,
030412004,装饰灯,73,是,配线桥架,partial_match,85.0,
030412005,荧光灯,44,是,防爆接线箱,partial_match,87.0,
030412007,草坪灯,6,是,防爆挠性连接管,fuzzy_name,77.1,
030413001,铁构件,3,否,,,,待补全
030413002,剔槽,28,是,侧照型工厂灯金属卤素灯,partial_match,80.5,
030414002,送配电装置系统,6,是,开孔器,fuzzy_name,72.0,
030414004,双电源配电箱自动投入装置调试,7,是,混凝土,feature_match,100.0,
030414006,事故照明切换装置,1,否,,,,待补全
030414011,接地装置,12,否,,,,待补全
030501009,海康威视无线网桥(中心端),2,是,网络路由器,partial_match,87.0,
030501010,单模光纤收发器,1,是,光纤收发器,partial_match,87.0,
030501012,16口千兆三层交换机,2,是,交换机,exact_name,100.0,
030502001,光缆,2,是,分线箱,fuzzy_name,72.0,
030502005,超五类（屏蔽）双绞网线,1,是,BV双绞线,fuzzy_name,66.7,
030502007,48芯光缆,1,是,光缆接头盒,partial_match,83.0,
030502012,信息插座,1,否,,,,待补全
030502015,光缆终端盒,1,否,,,,待补全
030502016,布放尾纤,2,否,,,,待补全
030503001,质量管理子系统,2,是,通讯网关卡,fuzzy_name,67.5,
030504004,扬尘检测系统,16,是,电视墙,exact_name,100.0,
030507008,网络高清枪型摄像机,2,否,,,,待补全
030507013,海康硬盘录像机,2,是,工艺Ⅱ(录设备1),fuzzy_name,67.5,
030601002,压力仪表,9,是,压力表,fuzzy_name,85.7,
030601004,报警阀流量压力检测装置,3,是,防爆挠性管,feature_match,90.0,
030601005,玻璃管液位计,1,是,检测尺,fuzzy_name,68.4,
030602001,电表安装,1,是,单相电表,manual_confirm,100.0,
030604003,甲臣衡器地磅3*21m 100t,1,是,测压装置,fuzzy_name,77.1,
030609001,焊接钢管DN100预埋,1,否,,,,待补全
030609003,不锈钢管 Φ32*3mm,1,是,不锈钢管,exact_name,100.0,
030701001,水灭火系统控制装置调试,1,是,空气预热器,fuzzy_name,72.0,
030701002,天花板管道式换气扇PF-1-21,20,否,,,,待补全
030701004,多联机室内机,2,是,风机盘管,exact_name,100.0,
030702001,碳钢通风管道,45,否,,,,待补全
030702008,柔性软风管,1,是,柔性软风管,exact_name,100.0,
030703001,70℃防火阀4000*3000,30,否,,,,待补全
030703011,铝合金单层格栅风口（带调节阀）1000*500,56,是,铝合金送风口,fuzzy_name,75.0,
030703013,透气帽安拆及主材费,2,是,不锈钢,partial_match,92.0,
030703019,柔性接口,7,否,,,,待补全
030703020,消声器2800*850*1000,2,是,消声器,exact_name,100.0,
030703021,静压箱,2,是,静压箱,exact_name,100.0,
030704001,通风工程检测、调试,1,否,,,,待补全
030801001,镀锌钢管,13,否,,,,待补全
030801006,低压不锈钢管φ159*3,24,是,不锈钢管,partial_match,91.4,
030802001,钢管,1,否,,,,待补全
030804001,90°不锈钢冲压弯头DN200,78,否,,,,待补全
030804003,90°不锈钢弯头DN150,13,是,不锈钢管,partial_match,88.9,
030804014,低压塑料管件,9,是,低压柜,fuzzy_name,72.0,
030805003,中压不锈钢管件,2,是,不锈钢管,partial_match,90.0,
030807001,低压螺纹阀门,3,否,,,,待补全
030807002,低压焊接阀门,7,否,,,,待补全
030807003,闸阀Z41H-25C DN150,54,否,,,,待补全
030810002,不锈钢法兰盲板DN200,29,否,,,,待补全
030811001,中压碳钢螺纹法兰,1,是,螺纹法兰,partial_match,90.0,
030815001,管架制作安装,4,是,安装片,fuzzy_name,72.0,
030817008,冷却水池不锈钢柔性防水套管DN100,25,否,,,,待补全
030901001,内外壁热镀锌钢管DN150,35,是,镀锌钢管,manual_confirm,100.0,
030901002,内外壁热镀锌钢管DN65,15,否,,,,待补全
030901003,水喷淋(雾)喷头K = 115,7,是,可调装饰盘,feature_match,90.0,
030901004,湿式报警阀DN200,4,是,声光报警装置,partial_match,88.3,
030901006,水流指示器DN200,2,是,水流指示器,exact_name,100.0,
030901008,末端试水装置DN50,4,否,,,,待补全
030901010,单栓带灭火器箱组合式消防柜,13,是,室内消火栓,exact_name,100.0,
030901011,室外地上式消火栓,1,是,室外消火栓(地上式、法兰接),partial_match,82.1,
030901012,消防水泵接合器,3,是,消防水泵,partial_match,91.4,
030901013,推车式灭火器,11,是,灭火器,exact_name,100.0,
030901014,喷射型自动射流灭火装置,3,否,,,,待补全
030904001,总线隔离器,4,是,热点探测器,fuzzy_name,80.0,
030904003,按钮,3,是,紧急按钮,partial_match,85.0,
030904005,声光报警器,1,是,报警器,partial_match,90.0,
030904006,消防报警电话插孔(电话）,1,是,消防栓,fuzzy_name,72.0,
030904008,输入输出模块,3,是,模块箱,partial_match,87.5,
030904009,虚拟现实系统（VR）系统,1,是,报警控制器,partial_match,94.3,
030904012,火灾报警系统控制主机,2,是,中控主机,fuzzy_name,67.5,
030905001,自动报警系统调试,1,否,,,,待补全
031001001,镀锌钢管DN200,5,是,镀锌钢管,exact_name,100.0,
031001002,内外热镀锌钢管,12,是,镀锌钢管,exact_name,100.0,
031001004,多联机空调系统配套专用铜管、支吊架、空调冷凝水管及其他空调配件,1,是,黄铜管,partial_match,88.3,
031001005,柔性接口机制铸铁排水管DN50,12,是,铸铁管阀箱,partial_match,87.0,
031001006,PPR冷水给水管（S4）De20,93,是,塑料管箍,partial_match,90.0,
031001007,内衬塑外镀锌钢管DN15,48,是,钢塑复合管,partial_match,87.0,
031002001,风管侧向抗震支架,103,是,W型铸铁竖管支架,fuzzy_name,67.5,
031002002,桥架、管道支撑架,5,否,,,,待补全
031002003,套管DN50,94,否,,,,待补全
031003001,不锈钢截止阀DN15,68,否,,,,待补全
031003002,碟阀DN65,6,是,螺纹法兰,partial_match,93.3,
031003003,闸阀 DN100,66,是,洗脸盆,exact_name,100.0,
031003007,疏水阀组,1,是,过滤器,partial_match,86.7,
031003008,除污器(过滤器）,2,是,波纹补偿器,partial_match,87.0,
031003009,补偿器DN150,3,是,软接头,exact_name,100.0,
031003010,可挠曲接头DN200,5,是,淋浴器,exact_name,100.0,
031003011,法兰堵头,1,是,淋浴间玻璃门大拉手,partial_match,81.7,
031003013,水表DN200,24,是,热量表,exact_name,100.0,
031004003,洗脸盆,8,是,洗脸盆,exact_name,100.0,
031004004,洗涤盆,5,是,洗涤盆,exact_name,100.0,
031004006,大便器,8,是,大便器,exact_name,100.0,
031004007,小便器,5,是,小便器,exact_name,100.0,
031004008,网框式地漏DN100,25,否,,,,待补全
031004010,淋浴器,1,是,淋浴器,exact_name,100.0,
031004014,屋面雨水斗DN150,11,否,,,,待补全
031004018,电开水器,2,否,,,,待补全
031006003,热水循环设备,2,是,自动消毒器,fuzzy_name,67.5,
031006005,太阳能集热装置,1,是,燃气计量表,fuzzy_name,75.0,
031006012,热水器、开水炉,2,否,,,,待补全
031006013,水箱消毒机,1,是,紫外线杀菌灯,fuzzy_name,76.9,
031006015,不锈钢换热水罐,2,否,,,,待补全
031101001,小耳朵电源,1,是,风机箱,fuzzy_name,72.0,
031201001,明装管道防腐,32,否,,,,待补全
031201003,金属结构刷油,1,否,,,,待补全
031201006,布面刷油,1,否,,,,待补全
031208002,管道绝热 厚度90mm,14,是,管道散热放空阻火器,fuzzy_name,67.5,
031208003,通风管道绝热,6,是,通风器,fuzzy_name,72.0,
031208007,0.5mm不锈钢保护层,10,是,防潮垫,fuzzy_name,72.0,
031301017,脚手架搭拆,38,否,,,,待补全
031301018,通风工程检测、漏风漏光检测等工作,7,否,,,,待补全
040101001,挖道路土方,19,否,,,,待补全
040101002,挖基坑土方,1,否,,,,待补全
040103001,填方,2,否,,,,待补全
040103002,余方弃置,2,否,,,,待补全
040201020,碎石垫层,1,否,,,,待补全
040201021,土工合成材料,1,是,土工布,fuzzy_name,72.0,
040202001,路床(槽)整形,1,是,整形锉,fuzzy_name,72.0,
040202011,15cm级配碎石,10,是,碎石子,partial_match,88.3,
040202015,20cm厚3%水泥稳定碎石,10,是,碎石子,fuzzy_name,72.0,
040203003,透层沥青,3,否,,,,待补全
040203006,7cm厚粗粒式沥青混凝土路面,7,是,混凝土,synonym_match,95.0,
040203007,200mm厚电缆沟盖板C25,23,是,混凝土,partial_match,92.0,
040204001,人行道整形碾压,2,是,混凝土,feature_match,100.0,
040204002,人行道块料铺设,3,是,混凝土,partial_match,87.5,
040204004,12*35cm安砌立缘石,3,是,混凝土,feature_match,100.0,
040205001,12#人(手)孔井,14,是,混凝土,feature_match,100.0,
040205006,网格线,7,是,标线漆,partial_match,88.3,
040205007,标志牌,1,是,标线漆,partial_match,88.3,
040205017,M型护栏,2,是,警示灯,fuzzy_name,66.7,
040303001,C15混凝土垫层,2,是,混凝土,feature_match,100.0,
040305001,垫层,1,是,混凝土,partial_match,90.0,
040309009,泄水管,5,否,,,,待补全
040501001,混凝土管,1,是,混凝土,partial_match,95.0,
040502001,铸铁管管件,6,是,柔性抗震铸铁管件-T三通,fuzzy_name,72.0,
040502011,补偿器(波纹管）,1,是,波纹管,partial_match,87.5,
040503003,桥架、电线管支架,2,是,混凝土,partial_match,88.6,
040504001,砌筑阀门井,10,否,,,,待补全
040504002,阀门井,8,是,混凝土,partial_match,95.0,
040504008,整体化粪池HC1,2,是,化粪池盖,fuzzy_name,66.7,
040504009,雨水口,1,是,化粪池盖,fuzzy_name,66.7,
040701018,绿网覆盖,1,否,,,,待补全
040901001,立缘石,2,是,预埋件,fuzzy_name,85.7,
040901008,植筋,2,是,玻璃钢格栅,partial_match,87.0,
041001008,拆除混凝土结构,1,是,混凝土,partial_match,88.6,
041001009,拆砌体井圈,2,否,,,,待补全
041106001,大型机械设备进出场及安拆,2,否,,,,待补全
050101001,整理绿化用地,3,否,,,,待补全
050101002,清理树根地径≤20cm,3,否,,,,待补全
050101009,种植土回（换）填,1,否,,,,待补全
050101010,整理绿化用地,1,否,,,,待补全
050102001,栽植乔木,19,否,,,,待补全
050102002,栽植灌木,23,否,,,,待补全
050102003,栽植竹类,4,否,,,,待补全
050102007,栽植色带,2,否,,,,待补全
050102011,时令花布置,1,否,,,,待补全
050102012,铺种草皮,3,否,,,,待补全
050102013,喷播植草（灌木）籽,2,否,,,,待补全
050102015,三维网植草护坡,1,否,,,,待补全
050103001,喷灌管线安装,1,是,安装片,fuzzy_name,72.0,
050201001,汀步石板,1,否,,,,待补全
050301001,堆筑土山丘,1,否,,,,待补全
050301002,堆砌石假山,1,否,,,,待补全
050301005,点风景石,1,否,,,,待补全
050304001,树池围牙,1,是,混凝土,partial_match,86.0,
050306001,φ89*4.5mm不锈钢圆形主管,3,否,,,,待补全
050306002,电缆FS-YJV5*6mm2,2,否,,,,待补全
050306003,喷泉灯24V 12W,1,否,,,,待补全
050306004,GGD控制柜,1,是,控制柜,partial_match,92.0,
050306005,潜水泵QY65-12-4,6,是,防护网,feature_match,100.0,
050403001,树木支撑架,1,是,混凝土,partial_match,85.5,
050403002,草绳绕树干,3,否,,,,待补全
050405007,地上、地下设施的临时保护设施,1,否,,,,待补全
050405008,苗木验收后养护期养护,1,否,,,,待补全
080101002,挖沟槽、管道土方,1,否,,,,待补全
080403002,混凝土道路灌缝,2,否,,,,待补全
080801013,防鼠板,1,否,,,,待补全
080901010,智能电源控制器,3,否,,,,待补全
